,DISTRICT_NUMBER,DISTRICT,CAMPUS_NUMBER,CAMPUS,REGION,COUNTY,SCHOOL_TYPE,GRADES_SERVED,CHARTER,URBANICITY,NUMBER_OF_STUDENTS,OVERALL_RATING,OVERALL_SCORE,%_ECONOMICALLY_DISADVANTAGED,%_EB/EL_STUDENTS,FREE_LUNCH_QUALIFIED_COUNT,REDUCED-PRICE_LUNCH_QUALIFIED_COUNT,RACE_AMERICAN_INDIAN_OR_ALASKA_NATIVE,RACE_ASIAN,RACE_BLACK_OR_AFRICAN_AMERICAN,RACE_HISPANIC/LATINO,RACE_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,RACE_TWO_OR_MORE_RACES,RACE_WHITE,TEACHERS_COUNT,LAT,LONG,MEDIAN_HOUSEHOLD_INCOME_AREA,ST_SCHID
1137,19903,MAUD ISD,19903001.0,MAUD SCHOOL,REGION 08: MT PLEASANT,BOWIE,Elem/Secondary,EE - 12,No,Rural,474,A,93,0.565,0.004,239.0,30.0,4.0,0.0,46.0,62.0,4.0,62.0,774.0,41.41,33.32475,-94.34641,53125.0,TX-019903-019903001
1138,19905,NEW BOSTON ISD,19905001.0,NEW BOSTON H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,Rural,321,B,84,0.639,0.031,185.0,20.0,4.0,0.0,130.0,58.0,4.0,86.0,360.0,36.73,33.45614,-94.41763,75069.0,TX-019905-019905001
1139,19905,NEW BOSTON ISD,19905041.0,NEW BOSTON MIDDLE,REGION 08: MT PLEASANT,BOWIE,Middle School,06 - 08,No,Rural,248,A,90,0.815,0.028,197.0,5.0,2.0,2.0,100.0,48.0,0.0,60.0,286.0,26.65,33.49342,-94.4078,51004.0,TX-019905-019905041
1140,19905,NEW BOSTON ISD,19905101.0,CRESTVIEW EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Urban,583,C,73,0.82,0.034,473.0,5.0,2.0,4.0,266.0,114.0,2.0,164.0,616.0,53.78,33.52061,-101.94479,,TX-019905-019905101
1141,19905,NEW BOSTON ISD,19905101.0,CRESTVIEW EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Rural,583,C,73,0.82,0.034,473.0,5.0,2.0,4.0,266.0,114.0,2.0,164.0,616.0,53.78,33.11233,-98.57421,,TX-019905-019905101
1142,19905,NEW BOSTON ISD,19905101.0,CRESTVIEW EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Suburban,583,C,73,0.82,0.034,473.0,5.0,2.0,4.0,266.0,114.0,2.0,164.0,616.0,53.78,29.54187,-98.33684,,TX-019905-019905101
1143,19905,NEW BOSTON ISD,19905101.0,CRESTVIEW EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Rural,583,C,73,0.82,0.034,473.0,5.0,2.0,4.0,266.0,114.0,2.0,164.0,616.0,53.78,33.46866,-94.40872,,TX-019905-019905101
1144,19905,NEW BOSTON ISD,19905101.0,CRESTVIEW EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Urban,583,C,73,0.82,0.034,473.0,5.0,2.0,4.0,266.0,114.0,2.0,164.0,616.0,53.78,31.53654,-97.17791,,TX-019905-019905101
1145,19906,REDWATER ISD,19906001.0,REDWATER H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,Rural,339,B,88,0.442,0.003,124.0,26.0,2.0,6.0,18.0,22.0,2.0,20.0,608.0,38.38,33.3669,-94.249,62846.0,TX-019906-019906001
1146,19906,REDWATER ISD,19906041.0,REDWATER J H,REGION 08: MT PLEASANT,BOWIE,Middle School,07 - 08,No,Rural,180,A,93,0.472,0.006,71.0,14.0,0.0,0.0,16.0,6.0,0.0,8.0,330.0,15.79,33.3663,-94.2493,62846.0,TX-019906-019906041
1147,19906,REDWATER ISD,19906101.0,REDWATER EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 03,No,Rural,313,B,89,0.537,0.013,145.0,23.0,6.0,4.0,8.0,24.0,4.0,24.0,556.0,28.44,33.3651,-94.2493,62846.0,TX-019906-019906101
1148,19906,REDWATER ISD,19906102.0,REDWATER INT,REGION 08: MT PLEASANT,BOWIE,Elementary,04 - 06,No,,227,C,79,0.621,0.013,122.0,19.0,0.0,0.0,20.0,30.0,4.0,26.0,374.0,18.69,,,,TX-019906-019906102
1149,19907,TEXARKANA ISD,19907002.0,TEXAS H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,Urban,1719,B,81,0.625,0.054,944.0,130.0,14.0,52.0,1380.0,598.0,0.0,178.0,1216.0,155.47,33.45378,-94.06723,49944.0,TX-019907-019907002
1150,19907,TEXARKANA ISD,19907003.0,OPTIONS EARLY GRADUATION H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,,69,B,85,0.826,0.014,57.0,0.0,0.0,0.0,68.0,12.0,0.0,6.0,52.0,8.33,,,,TX-019907-019907003
1151,19907,TEXARKANA ISD,19907006.0,DIGITAL ACADEMY OF TEXAS,REGION 08: MT PLEASANT,BOWIE,Elem/Secondary,05 - 12,No,,227,D,64,0.577,0.004,123.0,8.0,0.0,4.0,60.0,164.0,2.0,18.0,206.0,,,,,TX-019907-019907006
1152,19907,TEXARKANA ISD,19907042.0,TEXAS MIDDLE,REGION 08: MT PLEASANT,BOWIE,Middle School,06 - 08,No,,1413,C,76,0.754,0.11,1022.0,43.0,12.0,24.0,1284.0,488.0,0.0,174.0,844.0,111.23,,,,TX-019907-019907042
1153,19907,TEXARKANA ISD,19907105.0,HIGHLAND PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Urban,364,D,66,0.967,0.418,336.0,16.0,2.0,0.0,284.0,354.0,0.0,20.0,68.0,27.91,30.32996,-97.75978,,TX-019907-019907105
1154,19907,TEXARKANA ISD,19907105.0,HIGHLAND PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Suburban,364,D,66,0.967,0.418,336.0,16.0,2.0,0.0,284.0,354.0,0.0,20.0,68.0,27.91,29.98014,-93.98296,,TX-019907-019907105
1155,19907,TEXARKANA ISD,19907105.0,HIGHLAND PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,,364,D,66,0.967,0.418,336.0,16.0,2.0,0.0,284.0,354.0,0.0,20.0,68.0,27.91,,,,TX-019907-019907105
1156,19907,TEXARKANA ISD,19907105.0,HIGHLAND PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Urban,364,D,66,0.967,0.418,336.0,16.0,2.0,0.0,284.0,354.0,0.0,20.0,68.0,27.91,35.1886,-101.817,,TX-019907-019907105
1157,19907,TEXARKANA ISD,19907105.0,HIGHLAND PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Urban,364,D,66,0.967,0.418,336.0,16.0,2.0,0.0,284.0,354.0,0.0,20.0,68.0,27.91,29.39853,-98.46266,,TX-019907-019907105
1158,19907,TEXARKANA ISD,19907105.0,HIGHLAND PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Urban,364,D,66,0.967,0.418,336.0,16.0,2.0,0.0,284.0,354.0,0.0,20.0,68.0,27.91,33.44043,-94.04642,,TX-019907-019907105
1159,19907,TEXARKANA ISD,19907107.0,THERON JONES EARLY LITERACY CENTER,REGION 08: MT PLEASANT,BOWIE,Elementary,KG - 02,No,,386,F,59,0.982,0.047,374.0,5.0,4.0,0.0,656.0,56.0,0.0,30.0,26.0,33.88,,,,TX-019907-019907107
1160,19907,TEXARKANA ISD,19907108.0,WESTLAWN EL,REGION 08: MT PLEASANT,BOWIE,Elementary,03 - 05,No,Urban,346,F,59,0.957,0.023,328.0,3.0,0.0,2.0,568.0,42.0,0.0,36.0,44.0,36.13,33.43629,-94.08567,34336.0,TX-019907-019907108
1161,19907,TEXARKANA ISD,19907109.0,NASH EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Suburban,677,C,76,0.861,0.257,554.0,29.0,0.0,6.0,406.0,420.0,0.0,96.0,426.0,42.4,33.44689,-94.13054,56125.0,TX-019907-019907109
1162,19907,TEXARKANA ISD,19907111.0,SPRING LAKE PARK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,,407,F,59,0.924,0.044,362.0,14.0,0.0,12.0,558.0,62.0,0.0,54.0,130.0,31.96,,,,TX-019907-019907111
1163,19907,TEXARKANA ISD,19907113.0,WAKE VILLAGE EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 05,No,Suburban,579,C,75,0.851,0.05,468.0,25.0,2.0,12.0,488.0,148.0,0.0,154.0,354.0,44.41,33.42251,-94.10991,51194.0,TX-019907-019907113
1164,19907,TEXARKANA ISD,19907115.0,PAUL LAURENCE DUNBAR EARLY EDUCATION CENTER,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - PK,No,,296,F,59,0.99,0.041,286.0,7.0,0.0,0.0,488.0,26.0,4.0,44.0,30.0,22.25,,,,TX-019907-019907115
1165,19907,TEXARKANA ISD,19907116.0,MARTHA & JOSH MORRISS MATH & ENGINEERING EL,REGION 08: MT PLEASANT,BOWIE,Elementary,KG - 05,No,,358,A,92,0.282,0.017,91.0,10.0,6.0,40.0,104.0,34.0,2.0,44.0,486.0,22.49,,,,TX-019907-019907116
1166,19907,TEXARKANA ISD,19907117.0,WAGGONER CREEK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,KG - 05,No,,338,C,74,0.444,0.021,119.0,31.0,2.0,20.0,136.0,52.0,0.0,64.0,402.0,25.34,,,,TX-019907-019907117
1167,19908,LIBERTY-EYLAU ISD,19908001.0,LIBERTY-EYLAU H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,Urban,532,D,63,0.769,0.021,396.0,13.0,14.0,0.0,620.0,64.0,0.0,60.0,306.0,71.23,33.39362,-94.08892,27391.0,TX-019908-019908001
1168,19908,LIBERTY-EYLAU ISD,19908041.0,LIBERTY-EYLAU MIDDLE,REGION 08: MT PLEASANT,BOWIE,Middle School,05 - 08,No,Rural,573,F,57,0.888,0.04,499.0,10.0,6.0,0.0,700.0,90.0,4.0,66.0,280.0,48.28,33.36897,-94.09164,57755.0,TX-019908-019908041
1169,19908,LIBERTY-EYLAU ISD,19908102.0,LIBERTY-EYLAU EARLY CHILDHOOD CENTER,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - KG,No,,323,C,73,0.954,0.019,300.0,8.0,2.0,0.0,352.0,40.0,0.0,78.0,174.0,20.65,,,,TX-019908-019908102
1170,19908,LIBERTY-EYLAU ISD,19908103.0,LIBERTY-EYLAU EL,REGION 08: MT PLEASANT,BOWIE,Elementary,01 - 04,No,,575,C,73,0.904,0.026,511.0,9.0,2.0,0.0,624.0,82.0,0.0,122.0,320.0,39.59,,,,TX-019908-019908103
1171,19909,SIMMS ISD,19909001.0,JAMES BOWIE H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,Rural,140,A,94,0.464,0.021,58.0,7.0,0.0,4.0,2.0,10.0,0.0,10.0,254.0,19.71,33.4836,-94.575,,TX-019909-019909001
1172,19909,SIMMS ISD,19909041.0,JAMES BOWIE MIDDLE,REGION 08: MT PLEASANT,BOWIE,Middle School,06 - 08,No,,132,B,84,0.47,0.015,57.0,5.0,0.0,0.0,0.0,8.0,0.0,10.0,246.0,12.74,,,,TX-019909-019909041
1173,19909,SIMMS ISD,19909101.0,JAMES BOWIE EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Urban,212,D,63,0.524,0.014,96.0,15.0,0.0,2.0,0.0,18.0,0.0,16.0,388.0,16.62,32.75208,-96.81498,,TX-019909-019909101
1174,19909,SIMMS ISD,19909101.0,JAMES BOWIE EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Urban,212,D,63,0.524,0.014,96.0,15.0,0.0,2.0,0.0,18.0,0.0,16.0,388.0,16.62,29.74479,-94.94458,,TX-019909-019909101
1175,19909,SIMMS ISD,19909101.0,JAMES BOWIE EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Urban,212,D,63,0.524,0.014,96.0,15.0,0.0,2.0,0.0,18.0,0.0,16.0,388.0,16.62,29.4358,-98.50864,,TX-019909-019909101
1176,19909,SIMMS ISD,19909101.0,JAMES BOWIE EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 05,No,Rural,212,D,63,0.524,0.014,96.0,15.0,0.0,2.0,0.0,18.0,0.0,16.0,388.0,16.62,33.4836,-94.575,,TX-019909-019909101
1177,19910,MALTA ISD,19910101.0,MALTA EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 06,No,Rural,220,B,80,0.468,0.0,84.0,19.0,6.0,0.0,12.0,26.0,0.0,16.0,380.0,16.82,33.48776,-94.51976,75069.0,TX-019910-019910101
1178,19911,RED LICK ISD,19911041.0,RED LICK MIDDLE,REGION 08: MT PLEASANT,BOWIE,Middle School,05 - 08,No,Rural,220,B,86,0.123,0.009,,,0.0,8.0,12.0,14.0,0.0,14.0,394.0,18.13,33.46645,-94.17504,99987.0,TX-019911-019911041
1179,19911,RED LICK ISD,19911101.0,RED LICK EL,REGION 08: MT PLEASANT,BOWIE,Elementary,KG - 04,No,Rural,305,A,92,0.082,0.007,,,4.0,0.0,6.0,36.0,0.0,24.0,542.0,26.0,33.46645,-94.17504,99987.0,TX-019911-019911101
1180,19912,PLEASANT GROVE ISD,19912001.0,PLEASANT GROVE H S,REGION 08: MT PLEASANT,BOWIE,High School,09 - 12,No,Urban,796,A,93,0.284,0.029,204.0,22.0,6.0,42.0,228.0,92.0,0.0,70.0,1154.0,68.26,33.46464,-94.10946,82708.0,TX-019912-019912001
1181,19912,PLEASANT GROVE ISD,19912041.0,PLEASANT GROVE MIDDLE,REGION 08: MT PLEASANT,BOWIE,Middle School,06 - 08,No,Urban,501,B,87,0.407,0.036,160.0,44.0,2.0,32.0,154.0,88.0,4.0,66.0,656.0,39.66,33.47228,-94.08251,89310.0,TX-019912-019912041
1182,19912,PLEASANT GROVE ISD,19912102.0,MARGARET FISCHER DAVIS EL,REGION 08: MT PLEASANT,BOWIE,Elementary,EE - 02,No,,522,A,91,0.456,0.054,207.0,33.0,4.0,24.0,128.0,98.0,2.0,90.0,714.0,38.38,,,,TX-019912-019912102
1183,19912,PLEASANT GROVE ISD,19912200.0,PLEASANT GROVE INT,REGION 08: MT PLEASANT,BOWIE,Elementary,03 - 05,No,,483,A,91,0.389,0.041,163.0,25.0,2.0,28.0,142.0,76.0,0.0,52.0,666.0,35.41,,,,TX-019912-019912200
1184,19913,HUBBARD ISD,19913101.0,HUBBARD ISD,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 08,No,,77,C,73,0.636,0.143,47.0,2.0,0.0,0.0,0.0,26.0,0.0,8.0,120.0,8.04,,,,TX-019913-019913101
1185,19914,LEARY ISD,19914101.0,LEARY EL,REGION 08: MT PLEASANT,BOWIE,Elementary,PK - 08,No,Rural,93,C,73,0.978,0.0,89.0,2.0,0.0,0.0,4.0,20.0,0.0,8.0,154.0,10.0,33.46019,-94.20862,53352.0,TX-019914-019914101
1186,20901,ALVIN ISD,20901001.0,ALVIN H S,REGION 04: HOUSTON,BRAZORIA,High School,09 - 12,No,,2819,C,78,0.646,0.155,1641.0,182.0,16.0,88.0,164.0,3310.0,2.0,98.0,1964.0,174.89,,,,TX-020901-020901001
1187,20901,ALVIN ISD,20901002.0,MANVEL H S,REGION 04: HOUSTON,BRAZORIA,High School,09 - 12,No,,2604,B,81,0.573,0.137,1321.0,173.0,24.0,270.0,2016.0,2176.0,4.0,136.0,588.0,169.82,,,,TX-020901-020901002
1188,20901,ALVIN ISD,20901004.0,BRAZORIA CO J J A E P,REGION 04: HOUSTON,BRAZORIA,High School,07 - 12,No,Suburban,38,Not Rated,.,0.737,0.289,,,0.0,0.0,12.0,54.0,0.0,2.0,8.0,,29.41877,-95.24154,50165.0,TX-020901-020901004
1189,20901,ALVIN ISD,20901004.0,BRAZORIA CO J J A E P,REGION 04: HOUSTON,BRAZORIA,High School,07 - 12,No,Rural,38,Not Rated,.,0.737,0.289,,,0.0,0.0,12.0,54.0,0.0,2.0,8.0,,29.13791,-95.65198,59005.0,TX-020901-020901004
1190,20901,ALVIN ISD,20901004.0,BRAZORIA CO J J A E P,REGION 04: HOUSTON,BRAZORIA,High School,07 - 12,No,Rural,38,Not Rated,.,0.737,0.289,,,0.0,0.0,12.0,54.0,0.0,2.0,8.0,,29.2894,-95.7406,93830.0,TX-020901-020901004
1191,20901,ALVIN ISD,20901004.0,BRAZORIA CO J J A E P,REGION 04: HOUSTON,BRAZORIA,High School,07 - 12,No,Rural,38,Not Rated,.,0.737,0.289,,,0.0,0.0,12.0,54.0,0.0,2.0,8.0,,29.22546,-95.34184,77898.0,TX-020901-020901004
1192,20901,ALVIN ISD,20901004.0,BRAZORIA CO J J A E P,REGION 04: HOUSTON,BRAZORIA,High School,07 - 12,No,Suburban,38,Not Rated,.,0.737,0.289,,,0.0,0.0,12.0,54.0,0.0,2.0,8.0,,29.16755,-95.43118,82321.0,TX-020901-020901004
1193,20901,ALVIN ISD,20901004.0,BRAZORIA CO J J A E P,REGION 04: HOUSTON,BRAZORIA,High School,07 - 12,No,Rural,38,Not Rated,.,0.737,0.289,,,0.0,0.0,12.0,54.0,0.0,2.0,8.0,,29.04782,-95.70635,74375.0,TX-020901-020901004
1194,20901,ALVIN ISD,20901005.0,RISE,REGION 04: HOUSTON,BRAZORIA,High School,09 - 12,No,,111,A,96,0.658,0.09,65.0,8.0,2.0,2.0,14.0,96.0,0.0,4.0,104.0,11.98,,,,TX-020901-020901005
1195,20901,ALVIN ISD,20901006.0,SHADOW CREEK H S,REGION 04: HOUSTON,BRAZORIA,High School,09 - 12,No,,2579,B,86,0.313,0.047,697.0,113.0,10.0,1256.0,2216.0,930.0,6.0,150.0,600.0,148.55,,,,TX-020901-020901006
1196,20901,ALVIN ISD,20901007.0,IOWA COLONY H S,REGION 04: HOUSTON,BRAZORIA,High School,09 - 10,No,,792,C,78,0.561,0.177,387.0,57.0,0.0,76.0,582.0,680.0,2.0,50.0,194.0,65.95,,,,TX-020901-020901007
1197,20901,ALVIN ISD,20901041.0,ALVIN J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,Suburban,769,B,81,0.689,0.238,474.0,56.0,2.0,12.0,66.0,868.0,0.0,30.0,560.0,50.15,29.40581,-95.26789,74068.0,TX-020901-020901041
1198,20901,ALVIN ISD,20901042.0,RODEO PALMS J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,,816,B,86,0.591,0.211,421.0,61.0,4.0,116.0,704.0,672.0,6.0,44.0,86.0,56.86,,,,TX-020901-020901042
1199,20901,ALVIN ISD,20901043.0,G W HARBY J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,Suburban,610,B,88,0.715,0.275,400.0,36.0,0.0,14.0,50.0,760.0,0.0,28.0,368.0,45.0,29.4398,-95.26123,103929.0,TX-020901-020901043
1200,20901,ALVIN ISD,20901045.0,NOLAN RYAN J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,,850,A,90,0.368,0.153,270.0,43.0,4.0,382.0,704.0,328.0,2.0,70.0,210.0,48.08,,,,TX-020901-020901045
1201,20901,ALVIN ISD,20901046.0,FAIRVIEW J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,,863,B,88,0.716,0.221,559.0,59.0,4.0,66.0,36.0,970.0,0.0,34.0,618.0,52.77,,,,TX-020901-020901046
1202,20901,ALVIN ISD,20901047.0,MANVEL J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,Rural,933,B,84,0.538,0.212,445.0,57.0,0.0,126.0,508.0,812.0,0.0,58.0,364.0,57.0,29.47078,-95.35057,103929.0,TX-020901-020901047
1203,20901,ALVIN ISD,20901048.0,DR RONALD E MCNAIR J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,,1012,A,92,0.266,0.163,231.0,38.0,4.0,508.0,706.0,400.0,2.0,88.0,316.0,61.89,,,,TX-020901-020901048
1204,20901,ALVIN ISD,20901049.0,JACKIE DOUCET CAFFEY J H,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,,865,B,84,0.504,0.135,362.0,74.0,2.0,86.0,768.0,564.0,4.0,66.0,240.0,46.19,,,,TX-020901-020901049
1205,20901,ALVIN ISD,20901101.0,ALVIN EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,703,B,80,0.774,0.413,493.0,54.0,2.0,8.0,30.0,944.0,0.0,28.0,402.0,48.33,,,,TX-020901-020901101
1206,20901,ALVIN ISD,20901103.0,MARK TWAIN EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,Urban,670,C,75,0.779,0.384,492.0,30.0,0.0,10.0,52.0,1000.0,0.0,26.0,252.0,49.53,32.68488,-96.83358,71979.0,TX-020901-020901103
1207,20901,ALVIN ISD,20901103.0,MARK TWAIN EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,Urban,670,C,75,0.779,0.384,492.0,30.0,0.0,10.0,52.0,1000.0,0.0,26.0,252.0,49.53,32.94933,-96.70372,83438.0,TX-020901-020901103
1208,20901,ALVIN ISD,20901104.0,BILL HASSE EL,REGION 04: HOUSTON,BRAZORIA,Elementary,PK - 05,No,,645,D,69,0.771,0.079,468.0,30.0,2.0,14.0,42.0,672.0,6.0,54.0,506.0,43.0,,,,TX-020901-020901104
1209,20901,ALVIN ISD,20901105.0,E C MASON EL,REGION 04: HOUSTON,BRAZORIA,Elementary,PK - 05,No,,800,B,84,0.616,0.251,434.0,60.0,2.0,78.0,288.0,774.0,0.0,50.0,420.0,50.66,,,,TX-020901-020901105
1210,20901,ALVIN ISD,20901106.0,R L STEVENSON PRI,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 02,No,,502,B,84,0.751,0.237,351.0,28.0,2.0,6.0,28.0,574.0,0.0,26.0,372.0,34.33,,,,TX-020901-020901106
1211,20901,ALVIN ISD,20901107.0,WALT DISNEY EL,REGION 04: HOUSTON,BRAZORIA,Elementary,03 - 05,No,,439,B,84,0.718,0.228,290.0,25.0,2.0,4.0,28.0,460.0,0.0,24.0,360.0,30.84,,,,TX-020901-020901107
1212,20901,ALVIN ISD,20901108.0,MELBA PASSMORE EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,610,B,84,0.754,0.139,431.0,30.0,0.0,14.0,30.0,642.0,2.0,30.0,506.0,40.25,,,,TX-020901-020901108
1213,20901,ALVIN ISD,20901109.0,HOOD-CASE EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,714,C,77,0.69,0.282,457.0,37.0,4.0,16.0,18.0,932.0,2.0,14.0,450.0,46.5,,,,TX-020901-020901109
1214,20901,ALVIN ISD,20901110.0,DON JETER EL,REGION 04: HOUSTON,BRAZORIA,Elementary,PK - 05,No,,820,B,80,0.706,0.427,508.0,71.0,0.0,114.0,490.0,912.0,0.0,32.0,96.0,53.49,,,,TX-020901-020901110
1215,20901,ALVIN ISD,20901111.0,MARY BURKS MAREK EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,Rural,704,A,91,0.449,0.156,283.0,33.0,4.0,224.0,578.0,360.0,0.0,80.0,164.0,45.0,29.5781,-95.3992,70592.0,TX-020901-020901111
1216,20901,ALVIN ISD,20901112.0,LAURA INGALLS WILDER EL,REGION 04: HOUSTON,BRAZORIA,Elementary,PK - 05,No,,696,B,86,0.326,0.157,197.0,30.0,4.0,282.0,580.0,212.0,2.0,76.0,244.0,39.8,,,,TX-020901-020901112
1217,20901,ALVIN ISD,20901113.0,SAVANNAH LAKES EL,REGION 04: HOUSTON,BRAZORIA,Elementary,PK - 05,No,,803,B,83,0.545,0.097,393.0,47.0,10.0,96.0,852.0,454.0,4.0,84.0,118.0,52.45,,,,TX-020901-020901113
1218,20901,ALVIN ISD,20901114.0,GLENN YORK EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,830,A,93,0.229,0.18,163.0,29.0,2.0,456.0,462.0,366.0,2.0,130.0,250.0,51.7,,,,TX-020901-020901114
1219,20901,ALVIN ISD,20901115.0,RED DUKE EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,607,A,91,0.422,0.188,215.0,42.0,2.0,236.0,378.0,368.0,0.0,46.0,194.0,40.32,,,,TX-020901-020901115
1220,20901,ALVIN ISD,20901116.0,MERIDIANA EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,990,C,79,0.42,0.092,357.0,62.0,10.0,134.0,788.0,564.0,4.0,98.0,398.0,51.63,,,,TX-020901-020901116
1221,20901,ALVIN ISD,20901117.0,SHIRLEY DILL BROTHERS EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,723,A,93,0.191,0.177,122.0,16.0,2.0,456.0,422.0,226.0,0.0,82.0,276.0,47.81,,,,TX-020901-020901117
1222,20901,ALVIN ISD,20901118.0,POMONA EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,801,A,91,0.282,0.116,183.0,43.0,6.0,276.0,668.0,298.0,2.0,82.0,280.0,51.29,,,,TX-020901-020901118
1223,20901,ALVIN ISD,20901119.0,BOB AND BETTY NELSON EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,633,B,80,0.622,0.095,352.0,44.0,2.0,82.0,32.0,520.0,0.0,48.0,596.0,41.2,,,,TX-020901-020901119
1224,20901,ALVIN ISD,20901120.0,BEL NAFEGAR SANCHEZ EL,REGION 04: HOUSTON,BRAZORIA,Elementary,EE - 05,No,,749,B,82,0.673,0.238,459.0,45.0,4.0,40.0,538.0,722.0,0.0,56.0,146.0,49.5,,,,TX-020901-020901120
1225,20902,ANGLETON ISD,20902001.0,ANGLETON H S,REGION 04: HOUSTON,BRAZORIA,High School,09 - 12,No,Rural,2056,B,82,0.67,0.127,1214.0,172.0,18.0,20.0,498.0,2100.0,4.0,114.0,1378.0,124.91,29.19313,-95.44993,67368.0,TX-020902-020902001
1226,20902,ANGLETON ISD,20902002.0,STUDENT ALTERNATIVE CTR,REGION 04: HOUSTON,BRAZORIA,Elem/Secondary,06 - 12,No,Suburban,45,Not Rated,.,0.867,0.156,37.0,2.0,2.0,0.0,18.0,54.0,0.0,6.0,10.0,8.12,29.16595,-95.43715,67368.0,TX-020902-020902002
1227,20902,ANGLETON ISD,20902003.0,BRAZORIA CO ALTER ED CTR,REGION 04: HOUSTON,BRAZORIA,High School,10 - 12,No,Rural,4,Not Rated,.,0.75,0.75,,,0.0,0.0,0.0,6.0,0.0,0.0,2.0,5.05,29.19412,-95.38034,77898.0,TX-020902-020902003
1228,20902,ANGLETON ISD,20902004.0,BRAZORIA CO JUVENILE DETENTION,REGION 04: HOUSTON,BRAZORIA,Elem/Secondary,06 - 11,No,Suburban,30,Not Rated,.,0.367,0.033,,,0.0,0.0,10.0,26.0,0.0,0.0,24.0,5.84,29.17867,-95.41886,82321.0,TX-020902-020902004
1229,20902,ANGLETON ISD,20902044.0,ANGLETON J H SCHOOL,REGION 04: HOUSTON,BRAZORIA,Middle School,06 - 08,No,,1560,B,80,0.683,0.174,958.0,108.0,20.0,22.0,354.0,1486.0,2.0,86.0,1152.0,92.51,,,,TX-020902-020902044
